participant.code,round_no,participant.scenario,response,participant.treatment,neighbors,initially_neutral,response_change,response_delta
3oh6crbi,2,s9_p,0.0,AC_p,"1, -1, 1",Non-Neutral,0.0,0.0
3oh6crbi,3,s9_p,0.0,AC_p,"1, -1, -1",Non-Neutral,0.0,0.0
3oh6crbi,4,s9_p,1.0,AC_p,"-1, 0, -1",Non-Neutral,1.0,1.0
3oh6crbi,5,s9_p,1.0,AC_p,"0, 0, 0",Non-Neutral,0.0,0.0
3oh6crbi,6,s9_p,-1.0,AC_p,"0, 0, 1",Non-Neutral,-2.0,2.0
3oh6crbi,7,s9_p,1.0,AC_p,"-1, -1, -1",Non-Neutral,2.0,2.0
3oh6crbi,8,s9_p,-1.0,AC_p,"1, 1, 0",Non-Neutral,-2.0,2.0
3oh6crbi,9,s9_p,0.0,AC_p,"0, 1, -1",Non-Neutral,1.0,1.0
3oh6crbi,10,s9_p,1.0,AC_p,"0, -1, 0",Non-Neutral,1.0,1.0
3oyfb7lr,1,s4_n,1.0,NO_n,"-1, 1, 1",Non-Neutral,0.0,0.0
3oyfb7lr,2,s4_n,-1.0,NO_n,"-1, 1, -1",Non-Neutral,-2.0,2.0
3oyfb7lr,3,s4_n,1.0,NO_n,"1, 0, 1",Non-Neutral,2.0,2.0
3oyfb7lr,4,s4_n,0.0,NO_n,"1, 0, 0",Non-Neutral,-1.0,1.0
3oyfb7lr,5,s4_n,0.0,NO_n,"0, 0, 0",Non-Neutral,0.0,0.0
3oyfb7lr,6,s4_n,0.0,NO_n,"-1, 0, 0",Non-Neutral,0.0,0.0
3oyfb7lr,7,s4_n,1.0,NO_n,"-1, 0, 1",Non-Neutral,1.0,1.0
3oyfb7lr,8,s4_n,1.0,NO_n,"1, 1, 1",Non-Neutral,0.0,0.0
3oyfb7lr,9,s4_n,-1.0,NO_n,"-1, -1, -1",Non-Neutral,-2.0,2.0
3oyfb7lr,10,s4_n,-1.0,NO_n,"-1, -1, 0",Non-Neutral,0.0,0.0
3rg84scm,1,s4_n,0.0,NO_n,"-1, 0, -1",Neutral,0.0,0.0
3rg84scm,2,s4_n,0.0,NO_n,"-1, -1, -1",Neutral,0.0,0.0
3rg84scm,3,s4_n,0.0,NO_n,"1, -1, 0",Neutral,0.0,0.0
3rg84scm,4,s4_n,0.0,NO_n,"1, 1, 1",Neutral,0.0,0.0
3rg84scm,5,s4_n,0.0,NO_n,"-1, 1, 1",Neutral,0.0,0.0
3rg84scm,6,s4_n,0.0,NO_n,"1, 0, 0",Neutral,0.0,0.0
3rg84scm,7,s4_n,0.0,NO_n,"-1, -1, 1",Neutral,0.0,0.0
3rg84scm,8,s4_n,0.0,NO_n,"0, 0, 0",Neutral,0.0,0.0
3rg84scm,9,s4_n,0.0,NO_n,"-1, 0, 0",Neutral,0.0,0.0
3rg84scm,10,s4_n,0.0,NO_n,"1, 1, 0",Neutral,0.0,0.0
3un7u84w,1,s9_n,1.0,NO_n,"1, 1, 0",Non-Neutral,0.0,0.0
